csv_order,Priority,Category,Item,Link,Price,Image,Notes,Black Friday Deals,Black Friday Store
9,1,Technology,Raspberry PI ,https://www.amazon.com/CanaKit-Raspberry-Starter-Kit-PRO/dp/B0CRSNCJ6Y?crid=2I7C9BM0UQ6TP&dib=eyJ2IjoiMSJ9.na9CetPjFi_FxZyBgpAsryiQoZ3zd4f4plM0JLrGn13BCMGOBGWCpnGVafok8Gub2efhGKTcJ5jXb9HyKVHUb0BlZNZ5cvaY9hLs3Ol_UQLOjIrZXvBWLPaj3OQre_mUgfFpfqrcT_6AoBu1lWY2t9jOILvwmLjm32c9CnfQTgyhyHw7NzUzHaZRU5dj0Wr0MPst0MIOAc1z9I2tbGiyuZB9sm8FJFiJwmlxdhq-kx0.8kMNk9wRbuk_PRs7adEoO9qKFbD4HRKGgyJeybS12t4&dib_tag=se&keywords=Raspberry%2BPi&linkCode=sl2&linkId=6f1d7762f53ddc0baae7d70955e10a98&qid=1734036590&sprefix=raspberry%2Bpi%2Caps%2C366&sr=8-1&th=1,$159.00,https://m.media-amazon.com/images/I/81yH4ePwEOL._AC_SX425_.jpg,,,
9,1,Clothes,Doodlebob sweater,https://www.boxlunch.com/product/spongebob-squarepants-doodlebob-allover-icons-crewneck---boxlunch-exclusive/31825600.html,$48.90,https://cdn.media.amplience.net/s/hottopic/31825600_hi?$productMainTablet$&fmt=auto,,,
9,1,clothes,Spongebob Overalls,https://www.hottopic.com/product/spongebob-squarepants-character-scuba-shortalls/31809841.html?cm_mmc=CSE-_-GGL-_-PLA-_-DMY-_-599939166_28654596746&gad_source=1&gclid=CjwKCAiA-ty8BhA_EiwAkyoa38paU0L1-8OqpAYyZkP9B3zcfAvq_p5J5Rx6oNbvS2dGOsB2eN8oyxoCs-MQAvD_BwE,$24.49,https://cdn.media.amplience.net/s/hottopic/31809838_hi?$productMainTablet$&fmt=auto,,,
10,1,Fitness,Naked Whey Protein Powder,https://www.amazon.com/NAKED-WHEY-1LB-Ingredient-Undenatured/dp/B071ZDDNBY/ref=sr_1_6_pp?crid=1SLCDJRE0QNRC&dib=eyJ2IjoiMSJ9.5VHUX76DFMqcbS6A-vNpJUMPPtRi56aiiOz2kG1JbaAoOTHYQavL8hqKjiJhuo-pJQcmrxOjkJQ_2OVhV4tFovTTH8eKUZzYGv2ILF8U7ppEjeatdp1u1GZ1joBz83BmIpPSYL9Kj7viHw2jEcPJJNTqlu7wxfAUrWeKKjCYZrog_Y-lvVx-uCvyfYELtvj7BafqKoh8vg4HitaRlgdWRsj1YYD7x5qMSgH97h9QSVMc6iauubCzgIIarJAXGATiTXUo9ji1kF11MgG4mXtN4iDBv5fSvb9atIApGnHFHDA.cj8q9mMT7Nv2HTFriIlT_HwiDovCVxJrcZPafBlhBis&dib_tag=se&keywords=protein+powder&qid=1722046482&sprefix=protein+powder+%2Caps%2C135&sr=8-6,$25.00,https://m.media-amazon.com/images/I/612BVvt7aAL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
11,1,Fitness,pusheen gym bag,https://www.amazon.com/gp/product/B0CQMN1B5L/ref=sw_img_1?smid=A2ME53KL2BSLB6&psc=1,$49.90,https://m.media-amazon.com/images/I/61V9jXXTxAL._AC_SX569_.jpg,,,
11,1,fitness,dip bar,https://www.amazon.com/RELIFE-REBUILD-YOUR-LIFE-Functional/dp/B07DHD3CSY/ref=sr_1_4?crid=1YV4O3THCDY4B&dib=eyJ2IjoiMSJ9.xpe7iShUXB9UEyRcB7cc0khVFq6JdsH7xywitbzL2KOqWb4cIlXg4WHwrcCyVwX4nAFbMAtfXXuSIm3eCTvDczGLEIg_gU7PBPsV_17NTyoO4-2av0l6S6aDJB3HMw0lxC60P8zOrINxXrrOGIB9KhemN_JHlPJU_2VkfHjJFL5LREfnfGxPRGIdaUb61xux3DH8aVN5QUw3Ik2dKjBvaKhQei4JiL6E4qeuSojC7XjSAtid4RTU1h0mu-KJ6dgHyum4hzOlwPn1oRIDptcf1P6qiOEoP-PDigLtQNGtL-s.XEQczkcBC61I3Rjypv19BzjW9OSzRW99T6uXIQYrlig&dib_tag=se&keywords=dip+bar&qid=1722397799&s=sporting-goods&sprefix=dip+bar%2Csporting%2C90&sr=1-4,$57.99,https://m.media-amazon.com/images/I/71y07ZFqBdL.__AC_SY300_SX300_QL70_FMwebp_.jpg,,,
11,1,Fitness,Lifting Belt,https://pioneerfit.com/products/double-suede-lever-weightlifting-belt,$114.00,https://pioneerfit.com/cdn/shop/files/Doublesuedelever2.png?v=1717510996&width=1800,,,
11,1,Fitness,CAP Barbell Olympic Trap Bar | Multiple Grip Options,https://www.amazon.com/CAP-Barbell-Olympic-Shrug-Deadlift/dp/B0BFYMMWM7/ref=sr_1_5?dib=eyJ2IjoiMSJ9.vW66Dmv9m4sJe-DmFqwyjLb-Izdvf5KpCbeJYtNso6DEeARQluPIgScdN_rq1PUKFa1MM4WN1E5eo80ZaSLvtzJOGJ4FKhIzqYrPLDz6yAMf9jpFrG6IZ8W5Bl9iDPo1PdsOMHexavSeD9Z_DuVMljZGwMg42uKNrSp_ffqb6L-IZdzuBtLcDgL0NrN78e5Xd96fS1iluFSNsQRzVe8D6PJnsGV8TJc5IHJaUC6rXou2ETwpgP_ldZ22LR-DyfdtW3sJdMYMsndFoKAyyYgA02UDqMRHPv91C8yQASMQGW0.1lKuJpfPYxfLL9puJkDw2WUF7z6QfVB2gYB5W4IGnQY&dib_tag=se&keywords=trap%2Bbar&qid=1729472074&sr=8-5&th=1,$79.00,https://m.media-amazon.com/images/I/51aWnMB5LNL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
12,1,Food,cotton candy sprinkles,https://www.amazon.com/Yupik-Sprinkles-Cotton-Candy-2-2/dp/B07QZF5PTT/ref=sr_1_5?crid=12EHKLHDFMNCS&keywords=cotton+candy+sprinkles&qid=1689980215&sprefix=%2Caps%2C166&sr=8-5,$5.91,https://m.media-amazon.com/images/I/81IRVE7aGVL._SX522_.jpg,,,
12,1,Food,Protein Powder,https://www.amazon.com/Dymatize-Hydrolyzed-Absorbing-Digesting-Chocolate/dp/B099HXNRKK?crid=27NWXNCIKRYN7&dib=eyJ2IjoiMSJ9.5VHUX76DFMqcbS6A-vNpJUMPPtRi56aiiOz2kG1JbaBoELjqkoJJtv3bo3OfT8zcK-H47ffztQlmiteb51GmfNbVcWD_n7iTdPEh_QzmGPl9Zcdcvuvk_mb-h4z_IF6h2-dqOt9ovOvRsyK-K4mGjSpoJK--fbZd9EF7Tdy10aVDbqOvhFdQkt_tcAaY0HdE_imjP45XK1taCfCPlVq9lf49S9WgBF-E7ftWK4iW2pPMugH6TSCvfbQAejp-4_SL4329gKHIuhYLD6h4woNviDegPKtHXGkCxQ4ssqLKAIxa5OeG5DagzfEzzwq0TAHR-NCwU50mtH071yh3TtjWGIl0r_INeQ8NVYonLCt8kGpGX3Uw1XDCKBYR73vZyCPVEg_l-DlDpT_5oqK_nh0EdVWWbNgWWqkC-Gb5aaFEEsMu8N8SyNo4OsYIgkaJUGEI.NL0EoX5n4Def4zv_JWrnvDw57uMPyjz_DVovrooWfZA&dib_tag=se&keywords=protein+powder&qid=1734066158&sprefix=prot%2Caps%2C153&sr=8-15,$27.00,https://m.media-amazon.com/images/I/81bn4I1iOcL._AC_SY450_.jpg,,,
12,1,Food,Flakey Salt,https://www.amazon.com/Maldon-Sea-Salt-Flakes-ounce/dp/B00017028M/ref=sr_1_5?crid=1GZWS9PU4HTKM&keywords=flaky+sea+salt&qid=1702178582&sprefix=flaky+sea+salt%5C%2Caps%2C112&sr=8-5,$6.28,https://m.media-amazon.com/images/I/41y7WRo25AL._SY300_SX300_.jpg,,,
12,1,Food,Popcorn sesaoning,https://www.amazon.com/gp/product/B08N5784GM/ref=ox_sc_act_title_10?smid=A1BKXXIGLTMHDV&psc=1,$11.99,https://m.media-amazon.com/images/I/81-durOeWiL._SY550_.jpg,,,
13,1,Games,Stardew Valley: The Board Game,https://shop.stardewvalley.net/products/pre-order-stardew-valley-the-board-game-3rd-printing,$50.00,https://shop.stardewvalley.net/cdn/shop/files/boxshotsmaller_f563a498-f844-4b88-ada9-a00a259a8acf_540x.png?v=1691690497,,,
14,1,Kitchen,Nut and oat milk maker,https://www.amazon.com/dp/B0C6G93F4W?ref_=cm_sw_r_apin_dp_8ZTK047AM4E7PQM0ZE50&peakEvent=4&dealEvent=1&language=en-US,$94.00,https://m.media-amazon.com/images/I/71idQsNnmOL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
14,1,Kitchen,The Official Horizon Cookbook: Tastes of the Seven Tribes (Gaming),https://www.amazon.com/dp/B0CDJB6NYD?ref_=cm_sw_r_apin_dp_PCFGY04DV2Y3YMNREVRG,$39.00,https://m.media-amazon.com/images/I/51zKjr3KrGL._SX342_SY445_.jpg,,,
14,1,Kitchen,Merry Cookie Lover,https://shopcookingwithkarli.com/products/the-merry-cookie-lover-the-ultimate-christmas-cookie-and-candy-collection-cookie-lover-book-3-physical-copy,$27.99,https://shopcookingwithkarli.com/cdn/shop/files/Untitled-design-16.jpg?v=1705500129&width=493,,,
14,1,Kitchen,Cookies For days,https://shopcookingwithkarli.com/products/cookie-lover-the-classic-collection-cookbook-cookie-lover-book-2-physical-copy,$39.00,https://shopcookingwithkarli.com/cdn/shop/files/PRE-ORDERTODAY_-3.png?v=1727131947&width=493,,,
14,1,Kitchen,Smart pasta noodle maker ,https://www.williams-sonoma.com/products/philips-smart-pasta-noodle-maker/?catalogId=79&sku=1651409&cm_ven=FreePLA&cm_cat=Google&cm_pla=Electrics%20%3E%20Pasta%20Machines&region_id=668460,$249.00,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202443/0012/img30o.jpg,,,
14,1,Kitchen,basics with babish Cookbook,https://www.amazon.com/gp/product/198216753X/ref=ox_sc_act_title_4?smid=ATVPDKIKX0DER&psc=1,$20.00,https://m.media-amazon.com/images/I/51eORMn35aL._SX342_SY445_.jpg,,,
