,,Priority,Category,Name,Link,Price,,Notes
,10,1,Home,Ticket scrapbook for Concerts ,https://a.co/d/3PKhfTG,$19.00,,
Clothes,12,1,Clothes,Pusheen Swimsuit,https://poshmark.com/listing/Pusheen-mermaid-monokini-juniors-65ce5941bd66cd9d9d814275,$25.00,,
Fitness,12,1,Clothes,Berry and bee converse ,https://www.journeys.com/product/converse-chuck-taylor-all-star-hi-berries-and-bees-sneaker-natural-389085,$74.99,,
Food,12,1,Clothes,Cinnamoroll Strawberry Ruffle Dress,https://www.hottopic.com/product/cinnamoroll-strawberry-ruffle-dress/20546040.html,$54.90,,
Games,12,1,Clothes,clothes from shein/shein gift card,https://m.shein.com/us/giftcard.html?lang=us,ANY AMOUNT,,
Kitchen,12,1,Clothes,Hello Kitty x Pusheen Lavender Clouds Suspender Skirt,https://poshmark.com/listing/Hello-Kitty-Pusheen-Suspender-Skirt-Lavender-Size-Medium-Juniors-Balloons-Clouds-66392813d399ff5e2c678e0a,$22.00,,
Makeup,12,1,Clothes,Pusheen Slippers,https://www.amazon.com/gp/product/B0BD59GT81/ref=sw_img_1?smid=A1U7E11P5KZ4D1&th=1&psc=1,$22.00,NEED,
Plushies,12,1,Clothes,hello kitty® ladies ankle socks 5-pack - red & blue,https://www.fivebelow.com/products/hello-kitty-ladies-ankle-socks-5-pack-red-blue,$5.00,,
Technology,12,1,Clothes,Strawberry Swimsuit,https://nyahallo.com/products/pre-order-strawberry-one-piece-swimsuit?_pos=2&_sid=945dabaa1&_ss=r,$67.99,,
Vinyls,12,1,Clothes,Pusheen Cardigan,https://www.depop.com/products/hunnydau-pusheen-the-cat-pink-sailor/,$22.50,,
,12,1,Clothes,UGG Men's Tasman Slipper,https://www.amazon.com/gp/product/B000J19AY2/ref=twister_dp_update?ie=UTF8&psc=1&redirect=true,$109.00,,
,12,1,Clothes,white crocs,https://www.amazon.com/crocs-Unisex-Classic-White-Women/dp/B00152AGEW?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,$32.00,,
,12,1,Clothes,my melody sweater,https://www.aliexpress.us/item/3256803798020551.html?spm=a2g0o.cart.0.0.103238daVlKl6i&mp=1&gatewayAdapt=glo2usa,$16.00,,
